ธนาคารแห่งประเทศไทย EC_EI_027 : เครื่องชี้เศรษฐกิจมหภาคของไทย 1/ ปรับปรุงล่าสุด : 30 ก.ย. 2567 14:30 วันที่เรียกข้อมูล : 30 ก.ย. 2567 20:19 ,Unnamed: 1,2522 ,2523 ,2524 ,2525 ,2526 ,2527 ,2528 ,2529 ,2530 ,2531 ,2532 ,2533 ,2534 ,2535 ,2536 ,2537 ,2538 ,2539 ,2540 ,2541 ,2542 ,2543 ,2544 ,2545 ,2546 ,2547 ,2548 ,2549 ,2550 ,2551 ,2552 ,2553 ,2554 ,2555 ,2556 ,2557 ,2558 ,2559 ,2560 ,2561 r,2562 r,2563 r,2564 r,2565 p,2566 p,2567 p
33,   4.9 หนี้ต่างประเทศคงค้างทั้งสิ้น (พันล้านดอลลาร์ สรอ.),6.8,8.7,11.1,12.2,14.0,15.7,17.5,18.3,20.0,21.1,22.9,29.3,37.9,43.6,52.1,64.9,100.8,108.7,109.3,105.1,95.1,79.7,67.5,59.5,51.8,58.8,59.3,70.0,74.4,76.1,75.3,100.6,104.3,130.7,141.9,141.7,131.4,132.8,155.9,163.1,172.7,190.1,196.9,201.4,196.5,....
34,      - หนี้ทางการ 5/,3.1,4.4,6.3,7.2,8.1,8.5,10.6,12.1,13.9,13.3,12.1,11.5,12.8,13.1,14.2,15.7,16.4,16.8,24.1,31.6,36.2,33.9,28.3,23.3,17.0,15.3,15.2,15.4,14.9,14.8,15.4,26.3,27.7,39.7,36.5,35.2,29.6,31.7,40.6,43.8,44.7,43.6,48.3,47.9,42.7,....
35,   4.10 อัตราส่วนภาระหนี้ต่างประเทศ (%),18.1,17.8,19.3,21.0,23.2,23.9,27.4,24.7,19.8,15.0,12.9,10.8,10.6,11.3,11.2,11.7,11.4,12.3,15.7,21.4,19.4,15.4,20.8,19.6,16.0,8.5,11.1,11.2,12.0,8.2,7.5,4.7,3.4,4.2,4.0,4.9,6.4,5.9,5.8,6.3,6.9,7.7,6.3,7.1,7.6,....
36,      ภาระหนี้ทางการ (รวมธปท. ตั้งแต่ปี 2540),4.7,6.1,8.8,10.7,11.9,11.9,14.3,13.9,11.4,9.2,7.4,6.0,4.2,3.7,3.7,3.4,2.8,2.5,2.7,3.3,4.0,4.0,8.1,7.9,7.6,1.9,1.1,1.3,1.0,0.7,0.7,0.6,0.6,0.6,0.9,0.7,0.7,0.8,1.3,1.0,1.7,1.2,1.1,1.2,1.0,....
37,5. การคลัง (ตามปีงบประมาณ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,   5.1 ดุลเงินสด (พันล้านบาท),-12.3,-21.8,-17.5,-42.5,-26.7,-34.9,-34.4,-39.9,-17.8,30.2,59.3,103.3,123.7,85.9,68.9,65.8,112.5,104.3,-87.1,-115.3,-134.4,-116.6,-107.9,-118.7,34.3,17.2,16.9,4.5,-94.8,-24.0,-417.1,-200.4,-159.9,-287.0,-208.9,-327.3,-344.2,-381.9,-406.3,-396.1,-310.0,-973.5,"-1,458.4",-953.2,-501.4,-549.6
39,      (% ของผลิตภัณฑ์รวม),-2.2,-3.3,-2.3,-5.1,-2.9,-3.5,-3.3,-3.5,-1.4,1.9,3.2,4.7,4.9,3.0,2.2,1.9,2.8,2.3,-1.9,-2.5,-2.9,-2.4,-2.1,-2.2,0.6,0.3,0.2,0.1,-1.1,-0.3,-4.4,-1.9,-1.4,-2.4,-1.6,-2.5,-2.5,-2.7,-2.7,-2.5,-1.8,-6.1,-9.1,-5.6,-2.8,-3.0
40,   5.2 ยอดหนี้คงค้างภาครัฐ (พันล้านบาท) 6/,,,,,,,,,,,,,,,,,,548.7,"1,525.5","2,073.5","2,607.1","2,804.3","2,934.4","2,943.0","2,930.0","3,126.6","3,277.5","3,233.1","3,178.5","3,408.2","4,001.9","4,230.7","4,448.3","4,937.2","5,430.6","5,690.8","5,783.3","5,988.4","6,369.3","6,781.0","6,901.8","7,848.2","9,337.5","10,373.9","11,084.6","11,641.9"
41,      หนี้ในประเทศ,,,,,,,,,,,,,,,,,,288.6,"1,133.6","1,598.3","1,737.6","1,937.9","2,025.1","2,118.8","2,219.5","2,455.9","2,677.0","2,727.0","2,765.2","3,020.8","3,617.6","3,868.2","4,097.2","4,596.6","5,052.5","5,332.6","5,423.0","5,641.9","6,067.8","6,519.0","6,684.4","7,708.8","9,169.2","10,196.9","10,929.8","11,507.2"
42,6. การเงิน 7/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
